sid	path	status_words	top_ids	neighbors
SRC-29353DDF7796	stages/stage13/archive/tasks/13-12af/result.md	final,complete,pending,repair,repaired,historical,review	SR-STR-135,SR-STR-108,SR-STR-217,SR-STR-187	SR-STR-196,SR-STR-027,SR-STR-030,SR-STR-031,SR-STR-227,SR-STR-201,SR-STR-029
SRC-43D95E9569D3	stages/stage13/archive/tasks/13-12ag/result.md	final,closed,complete,candidate,review	SR-STR-226,SR-STR-227,SR-STR-169,SR-STR-145	SR-STR-196,SR-STR-027,SR-STR-030,SR-STR-031,SR-STR-227,SR-STR-201,SR-STR-029
SRC-EE7549EBC7C3	stages/stage13/archive/tasks/13-12ah/result.md	final,closed,complete,pending,review,bookkeeping	SR-STR-206,SR-STR-171,SR-STR-199,SR-STR-129	SR-STR-196,SR-STR-027,SR-STR-030,SR-STR-031,SR-STR-227,SR-STR-201,SR-STR-029
SRC-C44BB40760B2	stages/stage13/archive/tasks/13-13/roadmap.md	final,candidate,repair,repaired,review,roadmap	SR-STR-226,SR-STR-227,SR-STR-032,SR-STR-004	
SRC-1278175CBA48	stages/stage13/archive/tasks/13-13a/claim-dependency-ledger.md	complete,review	SR-STR-226,SR-STR-032,SR-STR-039,SR-STR-042	
SRC-7ABF960F2716	stages/stage13/archive/tasks/13-13a/result.md	complete,audit,review	SR-STR-227,SR-STR-217,SR-STR-032,SR-STR-186	SR-STR-196,SR-STR-027,SR-STR-030,SR-STR-031,SR-STR-227,SR-STR-201,SR-STR-029
SRC-52E11A8760D5	stages/stage13/archive/tasks/13-13b/external-theorem-crosswalk.md	complete,fail,failed,audit	SR-STR-226,SR-STR-217,SR-STR-129,SR-STR-031	
SRC-F4C4521CAF2D	stages/stage13/archive/tasks/13-13b/result.md	final,complete,fail,failed,historical,audit,theorem_changed=false	SR-STR-226,SR-STR-031,SR-STR-146,SR-STR-217	SR-STR-196,SR-STR-027,SR-STR-030,SR-STR-031,SR-STR-227,SR-STR-201,SR-STR-029
SRC-7BF07E159F3B	stages/stage13/archive/tasks/13-13c/result.md	final,complete,repair,superseded,historical,theorem_changed=false	SR-STR-226,SR-STR-142,SR-STR-129,SR-STR-027	SR-STR-196,SR-STR-027,SR-STR-030,SR-STR-031,SR-STR-227,SR-STR-201,SR-STR-029
SRC-897FB0917009	stages/stage13/archive/tasks/13-13c/stage13-final-proof.md	final,repair,audit	SR-STR-226,SR-STR-227,SR-STR-039,SR-STR-142	
SRC-361FD4B35E7B	stages/stage13/archive/tasks/13-13d/result.md	final,complete,repair,superseded,audit,review,theorem_changed=false	SR-STR-227,SR-STR-057,SR-STR-063,SR-STR-073	SR-STR-196,SR-STR-027,SR-STR-030,SR-STR-031,SR-STR-227,SR-STR-201,SR-STR-029
