sid	path	status_words	top_ids	neighbors
SRC-77A69E4F606B	stages/stage13/data/13-3/parity_2adic_report.json		SR-STR-001,SR-STR-039,SR-STR-227,SR-STR-055	
SRC-5BADCB48F72F	stages/stage13/data/13-3/raw_incidence_report.json	complete	SR-STR-227,SR-STR-039,SR-STR-142,SR-STR-002	
SRC-2D8949354F6F	stages/stage13/data/13-3/representation_density_report.json	finite	SR-STR-227,SR-STR-003,SR-STR-038,SR-STR-195	
SRC-EFF443F52D23	stages/stage13/data/13-3/representation_fiber_report.json		SR-STR-041,SR-STR-156,SR-STR-227,SR-STR-142	
SRC-BAC6D29AECF1	stages/stage13/data/13-4/ac_bc_cancellation_report.json	finite	SR-STR-227,SR-STR-039,SR-STR-016,SR-STR-142	
SRC-6853F55A4787	stages/stage13/data/13-4/ac_bc_gap_report.json	finite	SR-STR-005,SR-STR-227,SR-STR-008,SR-STR-142	
SRC-C7693203B90F	stages/stage13/data/13-4/ac_bc_scaling_report.json	finite	SR-STR-227,SR-STR-142,SR-STR-039,SR-STR-154	
SRC-16149CCE0680	stages/stage13/data/13-5/deviation_report.json	finite	SR-STR-033,SR-STR-227,SR-STR-005,SR-STR-039	
SRC-F0D3F5FE534A	stages/stage13/data/13-6/deviation_classification_report.json	no_asymptotic,finite	SR-STR-227,SR-STR-142,SR-STR-077,SR-STR-061	
SRC-83EF504D17BB	stages/stage13/data/13-7/analytic_reduction_report.json	complete,proved,no_asymptotic	SR-STR-227,SR-STR-151,SR-STR-032,SR-STR-060	
SRC-2B765380ADA6	stages/stage13/data/13-7/analytic_reduction_scaling_report.json	fail	SR-STR-018,SR-STR-033,SR-STR-001,SR-STR-039	
SRC-851610541515	stages/stage13/data/13-7/angular_fourier_report.json	finite,frozen	SR-STR-227,SR-STR-211,SR-STR-226,SR-STR-197	
SRC-D08CBFBD9EA9	stages/stage13/data/13-7/consolidation_audit_report.json	final,audit	SR-STR-227,SR-STR-226,SR-STR-004,SR-STR-143	
