sid	path	status_words	top_ids	neighbors
SRC-0E2873D1E474	stages/stage13/archive/tasks/13-13fq/fixed-twist-hecke-contract.md	finite,review	SR-STR-151,SR-STR-155,SR-STR-206,SR-STR-217	
SRC-9D279EE67C73	stages/stage13/archive/tasks/13-13fq/primary-source-checklist.md		SR-STR-198,SR-STR-197,SR-STR-227,SR-STR-061	
SRC-70493AE98E3A	stages/stage13/archive/tasks/13-13fq/result.md	complete,proved,repair,finite	SR-STR-165,SR-STR-151,SR-STR-222,SR-STR-155	SR-STR-031,SR-STR-227,SR-STR-196,SR-STR-027,SR-STR-030
SRC-1F02135E3A4D	stages/stage13/archive/tasks/13-13fr/README.md	complete,repair,bookkeeping	SR-STR-057,SR-STR-073,SR-STR-152,SR-STR-063	SR-STR-034,SR-STR-001,SR-STR-039,SR-STR-144,SR-STR-217
SRC-0929BAD356A5	stages/stage13/archive/tasks/13-13fr/concrete-fixed-s-residue-model.md	finite	SR-STR-185,SR-STR-073,SR-STR-227,SR-STR-156	
SRC-0756E0EE277F	stages/stage13/archive/tasks/13-13fr/result.md	repair,finite	SR-STR-151,SR-STR-156,SR-STR-211,SR-STR-186	SR-STR-031,SR-STR-227,SR-STR-196,SR-STR-027,SR-STR-030
SRC-4DD13664227C	stages/stage13/archive/tasks/13-13fs/curved-region-self-contained-closure.md	final,complete,no_theorem	SR-STR-156,SR-STR-170,SR-STR-141,SR-STR-074	
SRC-2F8E62DF2513	stages/stage13/archive/tasks/13-13fs/result.md	final,complete,review	SR-STR-219,SR-STR-193,SR-STR-207,SR-STR-108	SR-STR-031,SR-STR-227,SR-STR-196,SR-STR-027,SR-STR-030
SRC-378777AF1683	stages/stage13/archive/tasks/13-13ft/r07-hardening-lemma.md	complete,frozen,no_theorem	SR-STR-015,SR-STR-216,SR-STR-039,SR-STR-060	
SRC-94D587F0C7D8	stages/stage13/archive/tasks/13-13ft/result.md	complete,proved,repair,frozen,no_theorem	SR-STR-226,SR-STR-041,SR-STR-146,SR-STR-151	SR-STR-031,SR-STR-227,SR-STR-196,SR-STR-027,SR-STR-030
SRC-F29AB8E114A9	stages/stage13/archive/tasks/13-13fu/result.md	complete,proved,repair,finite	SR-STR-060,SR-STR-074,SR-STR-198,SR-STR-222	SR-STR-031,SR-STR-227,SR-STR-196,SR-STR-027,SR-STR-030
SRC-BC95DF81B103	stages/stage13/archive/tasks/13-13fu/source-map.md	historical,review	SR-STR-021,SR-STR-039,SR-STR-140,SR-STR-226	
SRC-DB239BC66545	stages/stage13/archive/tasks/13-13fu/stage13-r07-canonical-proof.md	candidate,repair,historical,review	SR-STR-227,SR-STR-039,SR-STR-142,SR-STR-226	
SRC-19A7D40060E7	stages/stage13/archive/tasks/13-13fv/README.md	final,closed,manifest,review	SR-STR-096,SR-STR-207,SR-STR-009,SR-STR-169	SR-STR-034,SR-STR-001,SR-STR-039,SR-STR-144,SR-STR-217
SRC-5A1BD59C67AD	stages/stage13/archive/tasks/13-13fv/result.md	final,closed,complete,repair,audit,review,theorem_changed=false	SR-STR-142,SR-STR-176,SR-STR-052,SR-STR-067	SR-STR-031,SR-STR-227,SR-STR-196,SR-STR-027,SR-STR-030
SRC-A1C4009DF738	stages/stage13/archive/tasks/13-13fv/review-manifest.md	final,closed,complete,repair,audit,manifest,review,theorem_changed=false	SR-STR-102,SR-STR-057,SR-STR-061,SR-STR-105	
SRC-EC2A8CB1E7E4	stages/stage13/archive/tasks/13-13fv/review-policy.md	final,closed,repair,review	SR-STR-144,SR-STR-226,SR-STR-169,SR-STR-039	
SRC-EADCECFE1D01	stages/stage13/archive/tasks/13-13fw/claude-r07-verdict.md	final,closed,repair,review	SR-STR-176,SR-STR-057,SR-STR-073,SR-STR-060	
SRC-3B269BAA4928	stages/stage13/archive/tasks/13-13fw/deepseek-r07-verdict.md	final,closed,repair,finite,review	SR-STR-222,SR-STR-227,SR-STR-165,SR-STR-217	
SRC-C75C3AE1F5EE	stages/stage13/archive/tasks/13-13fw/grok-r07-verdict.md	final,closed,repair,finite,review	SR-STR-155,SR-STR-149,SR-STR-222,SR-STR-031	
SRC-2D42ACB868ED	stages/stage13/archive/tasks/13-13fw/r08-repair-plan.md	complete,repair,review	SR-STR-217,SR-STR-073,SR-STR-227,SR-STR-219	
SRC-427A5BE2319C	stages/stage13/archive/tasks/13-13fw/result.md	final,closed,complete,repair,review	SR-STR-060,SR-STR-152,SR-STR-102,SR-STR-063	SR-STR-031,SR-STR-227,SR-STR-196,SR-STR-027,SR-STR-030
SRC-9399A62C0D3C	stages/stage13/archive/tasks/13-13g/STAGE13-CLOSED.md	final,closed,repair,review,frozen,no_theorem	SR-STR-195,SR-STR-148,SR-STR-217,SR-STR-149	
SRC-188E0C211990	stages/stage13/data/13-10/final_explanation_audit_report.json	final,complete,proved,finite	SR-STR-227,SR-STR-226,SR-STR-005,SR-STR-004	
SRC-3CD023931C3E	stages/stage13/data/13-11/review_bundle_manifest.json	final,closed,complete,repair,review	SR-STR-226,SR-STR-052,SR-STR-034,SR-STR-040	
SRC-D1442F101BC9	stages/stage13/data/13-12aa/j0_common_factor_audit_report.json	audit	SR-STR-227,SR-STR-156,SR-STR-142,SR-STR-157	
SRC-43D6FF380545	stages/stage13/data/13-12ab/fixed_local_overlap_audit_report.json	fail,finite	SR-STR-227,SR-STR-018,SR-STR-004,SR-STR-005	
SRC-B9487BC5B5A9	stages/stage13/data/13-12ac/review_bundle_manifest.json	final,closed,complete,pending,candidate,repair,repaired,superseded,review	SR-STR-226,SR-STR-052,SR-STR-146,SR-STR-040	
SRC-59E40AD883D5	stages/stage13/data/13-12ad/j0_quantitative_closure_audit_report.json		SR-STR-160,SR-STR-143,SR-STR-039,SR-STR-156	
SRC-6A0CFE3EA410	stages/stage13/data/13-12ae/inert_local_state_audit_report.json	finite	SR-STR-073,SR-STR-227,SR-STR-156,SR-STR-074	
SRC-185191E61C57	stages/stage13/data/13-12af/review_bundle_manifest.json	final,closed,complete,pending,candidate,repair,repaired,superseded,review	SR-STR-226,SR-STR-052,SR-STR-040,SR-STR-089	
SRC-54AA2E86B11E	stages/stage13/data/13-12ag/proof_explicitness_audit_report.json	proved,fail	SR-STR-227,SR-STR-039,SR-STR-007,SR-STR-149	
SRC-F4F62A4D244B	stages/stage13/data/13-12ah/final_freeze_audit_report.json	final,closed,review,bookkeeping,frozen,no_new_theorem	SR-STR-227,SR-STR-226,SR-STR-005,SR-STR-143	
SRC-7045046FBB2F	stages/stage13/data/13-13a/claim-dependency-ledger.json	complete,review,frozen	SR-STR-227,SR-STR-226,SR-STR-152,SR-STR-004	
SRC-BD6E963B6232	stages/stage13/data/13-13d/final_consistency_audit.json	superseded,finite,roadmap	SR-STR-227,SR-STR-007,SR-STR-001,SR-STR-140	
SRC-0C1FFDCF0519	stages/stage13/data/13-13fa/q_independence_finite_audit.json	proved,finite,audit	SR-STR-146,SR-STR-030,SR-STR-009,SR-STR-006	
SRC-96DB9A4E54FC	stages/stage13/data/13-13fb/wiener_bound_audit.json	audit	SR-STR-216,SR-STR-183,SR-STR-158,SR-STR-146	
SRC-99BAA97D2DFA	stages/stage13/data/13-13fc/curved_region_error_audit.json	finite	SR-STR-160,SR-STR-005,SR-STR-143,SR-STR-016	
SRC-879AFF66DA13	stages/stage13/data/13-13fd/harmonic_conductor_audit.json	complete,bookkeeping	SR-STR-039,SR-STR-077,SR-STR-012,SR-STR-156	
SRC-B5D920FC14E2	stages/stage13/data/13-13fe/stage12_interface_audit.json	final,complete,finite,manifest,roadmap	SR-STR-007,SR-STR-227,SR-STR-157,SR-STR-196	SR-STR-013,SR-STR-041,SR-STR-226,SR-STR-227
SRC-5668F4B30651	stages/stage13/data/13-13ff/external_contract_audit.json	complete,fail,failed,roadmap	SR-STR-031,SR-STR-089,SR-STR-049,SR-STR-172	
SRC-8C2D3F038198	stages/stage13/data/13-13fg/fixed_inert_transfer_audit.json	complete,fail,failed,roadmap	SR-STR-183,SR-STR-158,SR-STR-005,SR-STR-077	
SRC-7689108E45BA	stages/stage13/data/13-13fh/r05_synthesis_readiness_audit.json	closed,complete,fail,failed,repair,finite,audit,review,roadmap	SR-STR-040,SR-STR-093,SR-STR-089,SR-STR-049	SR-STR-028,SR-STR-029,SR-STR-030,SR-STR-031,SR-STR-041,SR-STR-226,SR-STR-227
SRC-AAC4D8C51DAF	stages/stage13/data/13-13fm/principal_pole_sector_summary.json	complete,proved	SR-STR-005,SR-STR-074,SR-STR-226,SR-STR-156	
SRC-AD48B63B97D6	stages/stage13/data/13-13fp/r06_deepseek_adjudication.json	final,closed,repair,finite,review	SR-STR-226,SR-STR-060,SR-STR-143,SR-STR-152	
SRC-B6B8A5864834	stages/stage13/data/13-3/boundary_stability_report.json	finite,audit	SR-STR-227,SR-STR-060,SR-STR-039,SR-STR-143	
SRC-389206705A87	stages/stage13/data/13-3/geometric_chamber_report.json	finite,audit	SR-STR-227,SR-STR-039,SR-STR-156,SR-STR-012	
