sid	path	kind	role	top3
SRC-65DB591A4D6E	stages/stage12/archive/data/n1/average_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-032:54.4,SR-STR-216:32.5,SR-STR-173:31.4
SRC-1D52921B7E60	stages/stage12/archive/data/n1b/primitive_joint_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-222:48.8,SR-STR-223:44.5,SR-STR-193:32.5
SRC-D1115D2A76A4	stages/stage12/archive/data/n1c/global_mobius_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-223:60.9,SR-STR-222:58.3,SR-STR-225:39.1
SRC-0B551BC28E27	stages/stage12/archive/data/n1d/analytic_exit_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	SR-STR-222:124.1,SR-STR-223:81.7,SR-STR-165:71.9
SRC-C76B70C21A76	stages/stage12/archive/docs/README-old-layout.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	SR-STR-222:68.7,SR-STR-207:41.1,SR-STR-162:29.4
SRC-E35DDB618631	stages/stage12/archive/docs/proof-chain-2j-to-2p-review-page.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	SR-STR-165:59.8,SR-STR-222:50.0,SR-STR-031:49.4
SRC-5734043C488C	stages/stage12/archive/docs/stage12-n1-2-final-r02.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	SR-STR-222:141.1,SR-STR-225:111.5,SR-STR-216:107.9
SRC-7522A92BE1DD	stages/stage12/archive/docs/stage12-n1-2-final-r03.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	SR-STR-222:222.2,SR-STR-223:156.9,SR-STR-200:154.6
SRC-16E07847B918	stages/stage12/archive/docs/stage12-n1-2-final-r04.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	SR-STR-222:229.4,SR-STR-223:168.6,SR-STR-216:141.5
SRC-043B68A18127	stages/stage12/archive/docs/stage12-n1-2-final-r05.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	SR-STR-222:252.9,SR-STR-223:170.4,SR-STR-216:138.0
SRC-259AFAC084CB	stages/stage12/archive/docs/stage12-n1-2-final-r06-zero-base.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	SR-STR-222:236.0,SR-STR-223:150.2,SR-STR-162:134.4
SRC-C0ECFA1DE2CE	stages/stage12/archive/docs/stage12-n1-2-final-r07-self-contained.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	SR-STR-222:244.6,SR-STR-223:146.9,SR-STR-225:132.1
SRC-F8BDFF1C677B	stages/stage12/archive/docs/stage12-n1-2-final-r08-self-contained.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	SR-STR-222:267.6,SR-STR-223:133.4,SR-STR-225:130.9
SRC-50281E4D77D6	stages/stage12/archive/docs/stage12-n1-2-final.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	SR-STR-031:38.8,SR-STR-191:29.7,SR-STR-146:27.3
SRC-21CC43F7E730	stages/stage12/archive/docs/stage12-n1-2-hyperbola.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	SR-STR-032:31.2,SR-STR-165:29.7,SR-STR-164:27.4
SRC-9B4587F16DF0	stages/stage12/archive/docs/stage12-n1-2-index.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	SR-STR-193:10.3,SR-STR-191:10.3,SR-STR-195:8.0
